# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 0.126571
# Content above the last  bin: 0
# Number of events: 99994
2 0.01
0.917425 0.00109 1.9695
0.918515 0.00109 2.58167
0.919605 0.00109 1.78915
0.920695 0.00109 0.969808
0.921785 0.00109 1.2718
0.922875 0.00109 1.55951
0.923965 0.00109 1.87188
0.925055 0.00109 2.30218
0.926145 0.00109 3.78376
0.927235 0.00109 2.00784
0.928325 0.00109 2.35482
0.929415 0.00109 2.87316
0.930505 0.00109 2.79888
0.931595 0.00109 1.87453
0.932685 0.00109 3.34132
0.933775 0.00109 1.2672
0.934865 0.00109 1.88713
0.935955 0.00109 2.6544
0.937045 0.00109 1.42832
0.938135 0.00109 0.738088
0.939225 0.00109 2.4241
0.940315 0.00109 0.440394
0.941405 0.00109 2.63013
0.942495 0.00109 1.033
0.943585 0.00109 2.84213
0.944675 0.00109 1.79598
0.945765 0.00109 1.60901
0.946855 0.00109 2.84397
0.947945 0.00109 1.65463
0.949035 0.00109 0.795536
0.950125 0.00109 3.63297
0.951215 0.00109 3.35192
0.952305 0.00109 4.03288
0.953395 0.00109 2.8781
0.954485 0.00109 2.88925
0.955575 0.00109 1.21694
0.956665 0.00109 3.45531
0.957755 0.00109 1.59229
0.958845 0.00109 1.51993
0.959935 0.00109 2.14276
0.961025 0.00109 2.22139
0.962115 0.00109 1.58157
0.963205 0.00109 2.93578
0.964295 0.00109 3.67434
0.965385 0.00109 1.97199
0.966475 0.00109 1.26702
0.967565 0.00109 1.18362
0.968655 0.00109 0.835007
0.969745 0.00109 1.89161
0.970835 0.00109 2.39645
0.971925 0.00109 2.11864
0.973015 0.00109 0.748672
0.974105 0.00109 2.21722
0.975195 0.00109 0.832228
0.976285 0.00109 3.02847
0.977375 0.00109 2.05736
0.978465 0.00109 3.08527
0.979555 0.00109 2.58606
0.980645 0.00109 2.86641
0.981735 0.00109 1.41062
0.982825 0.00109 1.42016
0.983915 0.00109 0.176463
0.985005 0.00109 1.97785
0.986095 0.00109 1.45592
0.987185 0.00109 0.846182
0.988275 0.00109 1.13488
0.989365 0.00109 9.40245
0.990455 0.00109 3.08861
0.991545 0.00109 2.92612
0.992635 0.00109 0.594042
0.993725 0.00109 2.90911
0.994815 0.00109 0.591111
0.995905 0.00109 1.60362
0.996995 0.00109 0
0.998085 0.00109 2.54386
0.999175 0.00109 1.80723
1.00026 0.00109 3333.79
1.00135 0.00109 0
1.00245 0.00109 0
1.00354 0.00109 0
1.00462 0.00109 0
1.00571 0.00109 0
