# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 47
# Content above the last  bin: 0
# Number of events: 99994
2 0.01
0.176225 0.00109 8
0.177315 0.00109 5
0.178405 0.00109 9
0.179495 0.00109 6
0.180585 0.00109 4
0.181675 0.00109 6
0.182765 0.00109 5
0.183855 0.00109 3
0.184945 0.00109 7
0.186035 0.00109 4
0.187125 0.00109 11
0.188215 0.00109 7
0.189305 0.00109 7
0.190395 0.00109 5
0.191485 0.00109 3
0.192575 0.00109 4
0.193665 0.00109 8
0.194755 0.00109 7
0.195845 0.00109 6
0.196935 0.00109 9
0.198025 0.00109 7
0.199115 0.00109 3
0.200205 0.00109 6
0.201295 0.00109 5
0.202385 0.00109 3
0.203475 0.00109 3
0.204565 0.00109 7
0.205655 0.00109 5
0.206745 0.00109 9
0.207835 0.00109 3
0.208925 0.00109 8
0.210015 0.00109 5
0.211105 0.00109 7
0.212195 0.00109 4
0.213285 0.00109 8
0.214375 0.00109 6
0.215465 0.00109 4
0.216555 0.00109 5
0.217645 0.00109 8
0.218735 0.00109 5
0.219825 0.00109 11
0.220915 0.00109 10
0.222005 0.00109 8
0.223095 0.00109 10
0.224185 0.00109 5
0.225275 0.00109 4
0.226365 0.00109 8
0.227455 0.00109 11
0.228545 0.00109 8
0.229635 0.00109 4
0.230725 0.00109 10
0.231815 0.00109 4
0.232905 0.00109 11
0.233995 0.00109 6
0.235085 0.00109 5
0.236175 0.00109 5
0.237265 0.00109 6
0.238355 0.00109 4
0.239445 0.00109 5
0.240535 0.00109 10
0.241625 0.00109 8
0.242715 0.00109 7
0.243805 0.00109 5
0.244895 0.00109 8
0.245985 0.00109 7
0.247075 0.00109 4
0.248165 0.00109 7
0.249255 0.00109 4
0.250345 0.00109 11
0.251435 0.00109 5
0.252525 0.00109 8
0.253615 0.00109 6
0.254705 0.00109 7
0.255795 0.00109 7
0.256885 0.00109 3
0.257975 0.00109 6
0.259065 0.00109 8
0.260155 0.00109 1
0.261245 0.00109 10
0.262335 0.00109 8
0.263425 0.00109 6
0.264515 0.00109 7
0.265605 0.00109 7
0.266695 0.00109 3
0.267785 0.00109 7
0.268875 0.00109 11
0.269965 0.00109 10
0.271055 0.00109 2
0.272145 0.00109 5
0.273235 0.00109 5
0.274325 0.00109 4
0.275415 0.00109 12
